3.37192,56.00512,Pub
-5.53716,50.05545,Pub
-1.91964,51.90889,Pub
-5.53716,50.05545,Pub
-3.65244,50.83881,Pub
-5.53716,50.05545,Pub
-5.53716,50.08463,The Old Coastguard [Mousehole]          Tel  01736 731222
-5.49277,50.14486,The White Hart Inn [Ludgvan]            Tel  01736 740574
-5.27426,50.05545,The Halzephorn Inn [Gunwalloe]        Tel  01326 240406
-5.17415,50.11043,Trengilly Wartha [Constantine]             Tel  01326 340332
-5.13572,50.09263,The Shipwright Arms [Helford]          Tel  01326 231235
-5.06626,50.19477,The Pandora Inn [Mylor Bridge]            Tel 01326 372678
-5.01513,50.15875,The Victory Inn [St Mawes]                 Tel  01326 270324
-4.98489,50.21575,The Roseland [Philleigh]                      Tel  01872 580254
-4.20153,50.33398,The Halfway House [Kingsland]             Tel  01752 822279
-3.86104,50.38677,The Ship Inn [Ugborough]                   Tel  01752 892565
-3.80899,50.29853,The Church House Inn [Churchstow]    Tel  01548  852237
-3.77198,50.2765,The Crabshell Inn [Kingsbridge]            Tel: 01548 852345
-3.67476,50.27441,The Tradesmans Arms [Stokenham]      Tel   01548 580313
-3.67384,50.39622,The Watermans Arms [Ashprington]      Tel  01803 732214
-3.66347,50.39307,The Maltsters Arms [Bow Creek]           Tel 01803 732350
-3.65585,50.29353,The Tower Inn [Slapton]                     Tel  01548 580216
-3.65244,50.83881,Pub
-5.53716,50.40181,Pub
-4.83626,50.51657,The Swan Hotel [Wadebridge]             Tel  01208 812526
-4.82842,50.54478,The Malsters Arms [Chapel Amble]        Tel  01208 812473
-4.8217,50.59222,Portgaverne Hotel [Portgaverne]       Tel  01208 880244
-4.75755,50.64485,The Port William [Tintagel]                Tel  01840 770230
-4.33432,50.5765,The Springer Spaniel [Treburley]          Tel  01579 370424
-4.30345,50.45514,The Weary Friar [Pillaton]                    Tel  01579 350238
-4.28304,50.64323,The Arundell Arms [Lifton]                    Tel  01566 784666
-4.26438,50.42213,The Crooked Inn [Saltash]                   Tel  01752 848177
-4.10105,50.57973,The Peter Tavy Inn [Peter Tavy]          Tel  01822 810348
-4.09239,50.60123,The Elephant's Nest Inn [Horndon]    Tel 01822 810273
